Brand,Model,Storage,Marketplace,Category,Link,priceInitial,pricePromo,promotiontype,collectionTime
Samsung,Galaxy S20,128GB,Newegg,PC Laptops,https://www.newegg.com/p/N82E16875168159,1650.0,N/A,Aucune,2025-01-31 00:58:15
Samsung,Galaxy S22,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-s22-6-1-5g-phantom-black/p/N82E16875168168,2650.0,N/A,Aucune,2025-01-31 00:58:15
Apple,iPhone 14,128GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-000A-00UV3,3999.9,3649.9,8%,2025-01-31 00:58:15
Apple,iPhone 13,128GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-000A-00V30,2999.9,2749.9,8%,2025-01-31 00:58:15
Apple,iPhone 13,128GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-000A-00UY4,3149.9,2849.9,9%,2025-01-31 00:58:15
Apple,iPhone 13,128GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-000A-00NA2,3399.9,3049.9,10%,2025-01-31 00:58:15
Apple,iPhone 13,128GB,Newegg,PC Laptops,https://www.newegg.com/apple-iphone-13-6-1-midnight/p/23M-0003-02672,3099.9,2799.9,9%,2025-01-31 00:58:15
Apple,iPhone 14,256GB,Newegg,PC Laptops,https://www.newegg.com/apple-iphone-14-6-1-5g-space-black/p/23B-000A-00TJ6,7659.9,N/A,Aucune,2025-01-31 00:58:15
Samsung,Galaxy A25,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-a25-5g-6-1-gsm-hspa-lte-black-blue/p/23B-0002-018U3,2619.9,N/A,Aucune,2025-01-31 00:58:15
Samsung,Galaxy Note20,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-note20-5g-6-7-mystic-green/p/N82E16875169962,0.0,N/A,Aucune,2025-01-31 00:58:15
Samsung,Galaxy A14,64GB,Newegg,PC Laptops,https://www.newegg.com/p/23M-001E-00679,1399.9,N/A,Aucune,2025-01-31 00:58:15
Samsung,Galaxy A35,256GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-0002-01914,2949.9,N/A,Aucune,2025-01-31 00:58:15
Apple,iPhone 13,256GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-000A-00TW1,5439.9,N/A,Aucune,2025-01-31 00:58:15
Apple,iPhone 13,128GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-000A-00W41,3399.9,N/A,Aucune,2025-01-31 00:58:15
Samsung,Galaxy A13,32GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-0002-012S0,1090.0,N/A,Aucune,2025-01-31 00:58:15
Samsung,Galaxy S22,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-6-1-gsm-cdma-hspa-evdo-lte-5g-black/p/23B-0002-01153,2790.0,N/A,Aucune,2025-01-31 00:58:15
Samsung,Galaxy A05,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-a05-6-7-4g-lte-silver/p/23B-0002-018V5,1149.9,1049.9,8%,2025-01-31 00:58:15
Samsung,Galaxy S21,128GB,Newegg,PC Laptops,https://www.newegg.com/p/N82E16875168015,0.0,N/A,Aucune,2025-01-31 00:58:15
Samsung,Galaxy S21,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-6-8-gsm-cdma-hspa-evdo-lte-5g-black/p/23B-0002-00WZ0,2560.0,N/A,Aucune,2025-01-31 00:58:15
Apple,iPhone 12,64GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-000A-00U64,2699.9,2499.9,7%,2025-01-31 00:58:15
Samsung,Galaxy S20,128GB,Newegg,PC Laptops,https://www.newegg.com/samsung-galaxy-s20-5g-6-2-cosmic-gray/p/N82E16875169850,0.0,N/A,Aucune,2025-01-31 00:58:15
SAMSUNG,Galaxy A15,128GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-0002-018Y3,2109.6,N/A,Aucune,2025-01-31 00:58:15
Samsung,Galaxy S22,128GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-0002-014K4,3840.0,N/A,Aucune,2025-01-31 00:58:15
Apple,iPhone 12,128GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-000A-00U24,2499.9,2299.9,8%,2025-01-31 00:58:15
Apple,iPhone 15,256GB,Newegg,PC Laptops,https://www.newegg.com/apple-iphone-15-pro-6-1-blue-titanium/p/N82E16875113991,9609.9,N/A,Aucune,2025-01-31 00:58:15
Apple,iPhone 14,128GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-000A-00TH9,4149.9,N/A,Aucune,2025-01-31 00:58:15
Apple,iPhone 14,128GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-000A-00TM3,6299.9,N/A,Aucune,2025-01-31 00:58:15
Apple,iPhone 13,128GB,Newegg,PC Laptops,https://www.newegg.com/apple-iphone-13-pro-6-1-2g-3g-4g-lte-5g-graphite/p/23M-0003-026A4,4199.9,N/A,Aucune,2025-01-31 00:58:15
Apple,iPhone 15,256GB,Newegg,PC Laptops,https://www.newegg.com/p/N82E16875827028,11019.9,N/A,Aucune,2025-01-31 00:58:15
Samsung,Galaxy A14,64GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-0002-01AB3,690.0,N/A,Aucune,2025-01-31 00:58:15
Samsung,Galaxy S24,512GB,Newegg,PC Laptops,https://www.newegg.com/p/23B-0002-018E8,10299.9,N/A,Aucune,2025-01-31 00:58:15
